Keyword,Intent,Volume,Keyword Difficulty,CPC,Competitive Density,SERP Features,Number of Results
테니스 점수 세는 법,Informational,1300,18,0.00,0.04,"Featured snippet, People also ask",482000
테니스 점수 규칙,Informational,720,16,0.00,0.03,"People also ask",351000
테니스 듀스 뜻,Informational,480,12,0.00,0.02,"Featured snippet",128000
테니스 타이브레이크 규칙,Informational,320,22,0.00,0.05,"People also ask",96400
테니스 게임 세트 매치,Informational,590,20,0.00,0.04,"People also ask",210000
테니스 40 40 뜻,Informational,210,14,0.00,0.02,"Featured snippet",54300
테니스 점수 부르는 법,Informational,90,11,0.00,0.01,"",41200
테니스 라켓 추천,Commercial,2900,47,0.62,0.78,"Shopping, Reviews",1240000
테니스 레슨 가격,Commercial,1600,39,1.10,0.71,"Local pack",820000
테니스,Informational,33000,71,0.21,0.33,"Knowledge panel, Sitelinks",18900000
축구 포메이션 종류,Informational,880,26,0.00,0.06,"People also ask, Image pack",640000
4-4-2 4-3-3 차이,Informational,170,15,0.00,0.02,"",73500
야구 ops 뜻,Informational,1000,19,0.00,0.03,"Featured snippet",295000
야구 방어율 계산법,Informational,590,17,0.00,0.03,"Featured snippet",184000
농구 경기 시간 규칙,Informational,2400,24,0.00,0.05,"People also ask",512000
